gene,AveExpr,logFC,t,P.Value,n_dn,n_ctrl,adj.P.Val
INSRR,3.549228852459016,-0.04557019512195115,-1.3557106775798535,0.18014275698927243,41,20,0.29203190380729194
ZNF799,4.619842295081969,0.06784136585366074,1.3556824363038174,0.18015169862760136,41,20,0.29203190380729194
ECE2,3.3823365573770485,0.026624353658537547,1.3556378180680038,0.18016582616102533,41,20,0.2920394869142184
KDELR3,7.9511377049180325,0.22971663414634147,1.355601371840743,0.18017736680586266,41,20,0.29204287623303016
FAM183A,4.330096393442622,0.06850284146341501,1.3554310510556355,0.1802313060936004,41,20,0.2921149839953179
OR52E6,3.7362813114754094,0.11182462195121845,1.3552487399979951,0.1802890562263161,41,20,0.2921932604055954
C2orf80,3.3675816393442624,0.03945232926829245,1.3549986931290994,0.18036828573354946,41,20,0.2923063382588016
LOC100507403,3.2473275409836053,0.07875998780487814,1.3548830102005025,0.18040494983128907,41,20,0.2923504260152058
JAKMIP3,3.372387540983606,0.03505795121951305,1.3546975411023539,0.18046374352165506,41,20,0.2924303687886299
SYNE2,11.52570491803279,0.15143609756098186,1.3545446965232644,0.1805122061999593,41,20,0.29249356328892895
ANKLE1,3.7411929508196717,0.02689795121951155,1.354490726453979,0.18052932094282534,41,20,0.29249952110846356
ASIC5,3.3599147540983605,0.056548121951217833,1.354473411609358,0.18053481200918758,41,20,0.29249952110846356
LOC113230,4.25671606557377,-0.057566048780487655,-1.3544395888370264,0.18054553861049086,41,20,0.2925015658815905
GPCPD1,7.008017868852459,-0.09911106097560918,-1.3544018597885692,0.18055750462585018,41,20,0.29250561830800964
LAMB2P1,4.286418524590164,-0.11744132926829476,-1.3543423386466056,0.18057638337361265,41,20,0.292512013249703
OTTHUMG00000151394,3.55688819672131,0.06429429268292486,1.3543297328388832,0.18058038184083752,41,20,0.292512013249703
OTTHUMG00000150536,3.502787213114755,0.07468291463414767,1.354196141583515,0.18062276012040474,41,20,0.29256532502731175
LOC653486,4.138029672131148,-0.14309086585365893,-1.354152744801131,0.1806365282258129,41,20,0.2925722920611471
SLC38A5,3.625857868852459,0.031386536585366276,1.354029724481899,0.18067556211211513,41,20,0.29262017854915195
LACTB2,8.234611803278687,-0.23735426829268036,-1.3538354566150532,0.18073721564645445,41,20,0.2927046926349984
MIR19B2,3.497434918032787,0.11800660975609656,1.353667117973109,0.1807906531333451,41,20,0.29277589263707976
ARHGAP32,5.622640327868853,-0.10026640243902563,-1.3532776415422485,0.18091433476271604,41,20,0.2929608339450741
