gene,g,var_g,logFC,n_dn,n_ctrl
MIR216B,-0.11825137823035434,0.07262154517164963,-0.03599064634146254,41,20
MIR217,-0.042854972306827714,0.07251860585129405,-0.009986975609756144,41,20
MIR218-1,0.45359450156472036,0.07424666875975446,0.14955946341463378,41,20
MIR218-2,0.44869384695397446,0.0742091958482681,0.14783463414634257,41,20
MIR219-1,0.3487586547514,0.07353382661919733,0.05844287804878068,41,20
MIR219-2,0.4958519490050736,0.07458667878926617,0.0823118292682925,41,20
MIR221,1.033659849718153,0.08155772565017487,0.5234143170731702,41,20
MIR222,0.5365010295930522,0.07494230759792953,0.3088670121951229,41,20
MIR223,-1.006465346879722,0.08108755454466947,-0.38954501219512316,41,20
MIR2276,0.8248619829046263,0.07826912061561551,0.5227592804878061,41,20
MIR2277,-0.6997448777715815,0.07665255793024445,-0.14193042682927004,41,20
MIR2278,0.436509386723226,0.07411779141100648,0.1356099999999989,41,20
MIR22HG,-0.7763475145185686,0.07761080004322404,-0.24991043902439092,41,20
MIR2355,0.7256899005269568,0.07696597265701781,0.38679150000000107,41,20
MIR2392,0.2721633398223105,0.0731307781808857,0.042884353658536156,41,20
MIR23B,1.369348758473424,0.08839385562825412,0.2258611951219498,41,20
MIR23C,-0.19686344709567777,0.07283147592037009,-0.052382792682926116,41,20
MIR2467,0.7713464417617621,0.07754520572050687,0.12330921951219542,41,20
MIR25,0.6620353519517402,0.07621737075453511,0.20517550000000018,41,20
MIR2681,-0.6500562320308786,0.07608416988647002,-0.18888019512195076,41,20
MIR2682,-0.1307153346458809,0.0726478427162107,-0.021231658536585485,41,20
MIR26A1,0.9901352146230397,0.08081124309354146,0.22209518292682962,41,20
MIR26A2,0.3043905320683601,0.07328824184588253,0.09811795121951183,41,20
MIR26B,-0.0402801631772787,0.0725167918080243,-0.014372963414634121,41,20
MIR27A,0.7088718765238874,0.0767615108400659,0.16035574390243923,41,20
MIR28,0.5278712688562066,0.07486446625665373,0.17763564634146345,41,20
MIR2909,0.48254327041706496,0.0744763300815769,0.11472896341463512,41,20
MIR296,-0.2672107445516107,0.07310814003224665,-0.05161703658536476,41,20
MIR2964A,0.506346946256198,0.0746758150151208,0.08626439024390242,41,20
MIR297,2.4045022232122446,0.12149991426469413,1.5937702317073184,41,20
MIR298,0.0971495431093241,0.07258302521633585,0.028599231707317152,41,20
MIR299,-0.22351228292458633,0.0729264125628766,-0.07961907317073136,41,20
MIR29A,0.41002610617248053,0.07392779957240884,0.27169569512195135,41,20
MIR29B1,0.5249832443367394,0.07483869786979327,0.18754456097561034,41,20
MIR29B2,2.2175013540402704,0.11417517963535348,0.8848449999999977,41,20
MIR300,0.007040178612054383,0.07250346191454381,0.0022227804878043322,41,20
MIR301A,0.9044928852848056,0.07943615526552636,0.4977533902439024,41,20
MIR301B,0.45610195641056134,0.07426599946137982,0.07894890243902442,41,20
MIR302B,0.8631950947189567,0.078817497570747,0.1907061219512194,41,20
MIR302E,-0.45158137304271334,0.0742312260871222,-0.11795881707317157,41,20
MIR302F,0.036547281556842795,0.0725143614033091,0.014179012195121299,41,20
MIR3065,0.6371648390737715,0.07594354215214562,0.1751105975609759,41,20
MIR3074,-0.21826269374429635,0.07290675885832029,-0.08336100000000002,41,20
MIR30A,2.2008731911791073,0.11355255716484902,1.2512100731707316,41,20
MIR30B,0.5081222927494676,0.07469107801856148,0.14852791463414716,41,20
MIR30C1,0.4361425716490223,0.07411507868310085,0.12402267073170803,41,20
MIR30C2,1.234916546756493,0.08542693067164626,0.9803206951219483,41,20
MIR30D,-0.8718768165522718,0.07894515360205595,-0.16161336585365804,41,20
MIR30E,1.5634233307755012,0.09321738519503762,1.089191146341463,41,20
MIR31,0.6159792305638059,0.075718553849892,0.2360466829268284,41,20
MIR3115,-0.8494114434034289,0.07861744696598284,-0.1765665731707302,41,20
MIR3117,0.1204406760936695,0.07262597371406083,0.07206834146341379,41,20
MIR3119-1,0.3848012286072323,0.07375788921473656,0.13989819512195156,41,20
MIR3119-2,-0.09189441888594979,0.07257460615274293,-0.030854731707317118,41,20
MIR3120,1.628319083437139,0.0949727286380241,1.2009897926829272,41,20
MIR3121,-0.5479163788002771,0.07504721440643125,-0.16665882926829179,41,20
MIR3122,0.38802314629225615,0.07377899071067645,0.05964818292682983,41,20
MIR3123,-0.5027471697911011,0.07464503100452746,-0.12694580487804874,41,20
MIR3124,0.08897061748181041,0.07257012468285061,0.0323648902439011,41,20
MIR3125,1.034408640224898,0.08157084895570509,0.6091978780487786,41,20
MIR3126,0.26345004315728965,0.07309122768678691,0.1284296707317072,41,20
MIR3127,-0.4319879170804473,0.07408451273139645,-0.06559729268292669,41,20
MIR3128,0.3693110743742355,0.07365889501234517,0.21948006097561068,41,20
MIR3129,0.04741658754515058,0.07252209554725174,0.01601673170731699,41,20
MIR3130-1,0.3330382011060525,0.07344299478980706,0.05456957317073208,41,20
MIR3130-2,1.2031821802132925,0.0847712398354584,0.18337581707317074,41,20
MIR3131,-0.4628044440843342,0.07431819402767363,-0.09028007317073206,41,20
MIR3132,-0.9330480016488354,0.07988082639984885,-0.1544526341463408,41,20
MIR3136,0.10935451558260226,0.07260438433796257,0.040474024390245056,41,20
MIR3138,0.5493787097044508,0.07506081278371021,0.06555273170731679,41,20
MIR3140,1.0561599404403674,0.08195620984400236,0.7632171463414634,41,20
MIR3141,1.3683520604210722,0.08837073138186333,0.3615078292682927,41,20
MIR3142,0.4079924215095968,0.07391370133737747,0.10639124390243948,41,20
MIR3143,-0.1778019228385938,0.07277095309802016,-0.041278817073170604,41,20
MIR3145,-0.0519461534506387,0.07252590970050504,-0.0261023048780471,41,20
MIR3146,-0.2571108384083101,0.07306326207651104,-0.09354707317073041,41,20
MIR3147,-0.3375884257121026,0.07346885497437335,-0.06092440243902608,41,20
MIR3148,0.3968433662484827,0.07383765761980259,0.13750968292682897,41,20
MIR3150A,0.16376456171948447,0.07273032011420723,0.029550682926829275,41,20
MIR3150B,-0.27793817198531506,0.07315769973938828,-0.04445695121951232,41,20
MIR3151,0.7106520754183807,0.07678292639065873,0.14563814634146333,41,20
MIR3152,-0.26318341958944946,0.07309003774701758,-0.05819952439024423,41,20
MIR3153,0.1086117633633408,0.07260301234696756,0.04649513414634132,41,20
MIR3154,0.9806847459635779,0.08065340265056717,0.19875339024390115,41,20
MIR3155A,0.6552729156976452,0.07614187742244212,0.16003113414634118,41,20
MIR3155B,1.6380046943956514,0.09524083322596161,0.4065558902439026,41,20
MIR3156-1,-0.3458948418365506,0.07351696765602043,-0.09386601219512114,41,20
MIR3156-2,-0.2057585719591482,0.07286182654013514,-0.060273756097561915,41,20
MIR3156-3,-0.44310702934192925,0.07416697272248735,-0.11652141463414534,41,20
MIR3157,0.44019136097790873,0.07414514725492255,0.09333768292682931,41,20
MIR3158-1,-0.48423053588202336,0.0744901538447616,-0.06978773170731767,41,20
MIR3158-2,-0.6144190535748767,0.07570228572200954,-0.12731826829268256,41,20
MIR3160-1,0.44502270567352364,0.07418139110479882,0.08654839024390215,41,20
MIR3160-2,-0.059407396016397565,0.0725329506822265,-0.009287146341464325,41,20
