gene,AveExpr,logFC,t,P.Value,n_dn,n_ctrl,adj.P.Val
CD300LF,1.5760023149297357,1.2124900186703513,6.868662170226416,1.4513053542769371e-05,6,6,0.0015109814066066461
GDF15,4.033361434100421,1.2207358392015912,6.856216113034507,1.4778534787419484e-05,6,6,0.0015279362910770923
CYTH4,5.092265153515795,1.4894014291478737,6.845532865524142,1.5010527250921114e-05,6,6,0.0015412188255980244
HLA-DPB1,5.985008547120619,1.0728961282882112,6.840602268633356,1.511889893670937e-05,6,6,0.001541713475135131
MROH8,4.763137772882806,-0.9261478947855064,-6.8169818965958,1.5649705487757814e-05,6,6,0.0015849851381070637
CD84,3.762269737632876,1.5400672680542464,6.789102058344741,1.630180168418716e-05,6,6,0.0016398731315822868
ITGA11,6.821009286908978,0.8439598207822554,6.778298366143048,1.6562194547833787e-05,6,6,0.0016548855867661034
SH2B3,5.275289495795014,1.1159739990189328,6.752170505692315,1.7210352922909002e-05,6,6,0.0016961616883834048
CD163,6.264589800219376,1.1433125902498045,6.749199795758726,1.7285734336215955e-05,6,6,0.0016961616883834048
CTSZ,5.737447714858535,0.7705103957077375,6.742798611096258,1.7449357004631063e-05,6,6,0.0016961616883834048
TPBG,3.369420831303145,1.8655576330065542,6.740755070701149,1.750193801660576e-05,6,6,0.0016961616883834048
ADA2,4.9696567018429905,1.433042935041411,6.739089085258182,1.7544928802461334e-05,6,6,0.0016961616883834048
CCL19,1.9916084854893734,2.729709559345495,6.709984503099928,1.8314328745736408e-05,6,6,0.0017591208152678945
CD33,2.7965953058832316,1.5697105792921393,6.693135057669495,1.877604774942449e-05,6,6,0.0017809228437566877
STAB1,8.582089534359854,1.2913167912271541,6.692972789245552,1.8780553900443307e-05,6,6,0.0017809228437566877
NFKBIZ,6.590716385779273,1.318541607052719,6.667016296359349,1.9516340028681854e-05,6,6,0.0018389827237152876
RNF212B,4.083386026082505,-3.088561341778369,-6.655336345932666,1.9857349487941547e-05,6,6,0.001859347290418074
TRPM2,4.921275383981697,1.552310768812137,6.645770281247368,2.0141348477031996e-05,6,6,0.0018718470454922114
LIMD2,2.924243026643117,1.4187288163751646,6.642404279745621,2.0242300800930012e-05,6,6,0.0018718470454922114
FSTL3,3.7500844849275032,1.2701266612734012,6.609385145136505,2.1261535805406352e-05,6,6,0.0019367692120010407
FBXO41,2.6639925955705226,1.580888198679235,6.607419517315979,2.1323902465969358e-05,6,6,0.0019367692120010407
C16orf96,2.4493191950503115,-1.0212041701977468,-6.606618687363595,2.134936728282099e-05,6,6,0.0019367692120010407
HEYL,4.271830802772542,1.0561748102781787,6.603003305734813,2.146473132591159e-05,6,6,0.0019367692120010407
APOL1,4.956206511362995,0.9719003383158284,6.568272945709996,2.260722368481279e-05,6,6,0.0020275683507198364
FCGR2B,2.3556810750894366,2.27132361294864,6.562160282261843,2.2814892159313642e-05,6,6,0.0020339408051967753
LTF,5.404709511425761,2.9982133427209328,6.557883006331755,2.2961408114330104e-05,6,6,0.002034818119084206
AXL,6.231365222733537,0.8463044683287189,6.552474393608559,2.3148106887941575e-05,6,6,0.002039224942885646
PLXDC1,5.481912915996628,1.0255095818760784,6.541109104780161,2.3545686174017785e-05,6,6,0.0020620480926986868
TYMP,4.95079200388142,1.5046089872756347,6.535239396866448,2.3753848110703267e-05,6,6,0.002068112810948247
ISLR,3.5792009424615148,1.3328403704011973,6.52907949127799,2.397440054216742e-05,6,6,0.0020751795073941197
H1-5,1.6047485944223796,1.5650892791466302,6.524294213730252,2.4147232664241752e-05,6,6,0.0020780578029204115
GLI1,3.67735172026005,1.3314468578392833,6.494398844885542,2.5257309128176926e-05,6,6,0.002161096656898265
CD2,3.4970399772269865,1.761642385286566,6.4892870200587245,2.5452474673870468e-05,6,6,0.0021653511025404772
NAPSA,5.446841240231021,-0.8477117682451514,-6.475447112238958,2.5988934628464177e-05,6,6,0.0021940929399060505
