gene,g,var_g,logFC,n_dn,n_ctrl
TTC7A,0.14910308331337946,0.2851352551117311,0.049492874372061735,6,6
TTC7B,-1.0853668802947771,0.3429247318810942,-0.26455653172134674,6,6
TTC8,-1.165043367281564,0.3518899710213916,-0.4901678285203577,6,6
TTC9,0.9012415938675502,0.32463548916489937,0.4906706184218095,6,6
TTC9C,-0.6887129871595264,0.3077399475731632,-0.26285143718715,6,6
TTF1,-0.8956176837866598,0.32413022041462236,-0.26276848890449944,6,6
TTF2,-0.19759828013696318,0.28597592265470756,-0.06432035987644014,6,6
TTI1,-1.616002469316895,0.41459686768096843,-0.24152349095431092,6,6
TTI2,-1.3613872146441257,0.3766924260488778,-0.8084735958150233,6,6
TTK,-0.07078426627263654,0.28427418925664105,-0.05934912143074311,6,6
TTL,1.3270021893588448,0.3720704091672116,0.4695651502330431,6,6
TTLL1,-0.39001359502150545,0.29162919885413324,-0.2890673534875883,6,6
TTLL10,0.12480791751097386,0.2848025194527246,0.09769919861889953,6,6
TTLL11,-1.1580567089053795,0.35107843569109126,-0.3146426825869941,6,6
TTLL12,-0.4528782393358442,0.29427860362225,-0.17842811732502284,6,6
TTLL3,1.5230367721319247,0.4000057191023549,0.736986195055648,6,6
TTLL4,0.6502728647960769,0.30516640857355815,0.14061517031752402,6,6
TTLL5,-0.4426714382188411,0.29382156874979015,-0.11968635041437903,6,6
TTLL6,-0.5836196888487233,0.3010542656996473,-0.5758017779639699,6,6
TTLL7,-0.24751489684058814,0.28708684984695365,-0.18372811368771202,6,6
TTLL9,1.0502856833481222,0.3391786694713549,0.26833477884742507,6,6
TTN,-0.21075897613074907,0.28624463594003735,-0.4227696792331823,6,6
TTPA,-1.622734606207039,0.415687048748149,-1.6719142761383954,6,6
TTPAL,0.8562381610744653,0.3206808580630624,0.2861088227367925,6,6
TTR,-1.2413386298974616,0.3610697483428386,-1.30050692268386,6,6
TTYH2,2.419636585591309,0.5767557289556517,0.8516075618232684,6,6
TTYH3,0.5279242741048535,0.2979588705985101,0.2636399846420474,6,6
TUB,-1.3497825600587354,0.37511931661098896,-0.6640033292398115,6,6
TUBA1A,1.9134450868058583,0.4670872736501272,0.6653895511651493,6,6
TUBA1B,2.2827057422909753,0.5445609439334629,0.5574820950099078,6,6
TUBA1C,-0.3292995734866908,0.2894455790939791,-0.0963887303726132,6,6
TUBA4A,-1.334833834207906,0.3731127368863623,-0.6660360103220277,6,6
TUBA4B,-0.429076912001251,0.29322901845967975,-0.31556289313788666,6,6
TUBAL3,-1.7591475669500896,0.4387536767543742,-1.5757370376179805,6,6
TUBB,2.319971359890285,0.5531370241746121,0.5787072178156851,6,6
TUBB2A,-1.0079442441201616,0.33482124860180146,-1.1946284443065234,6,6
TUBB2B,-0.9521946487676001,0.329357401096136,-0.5688100234514417,6,6
TUBB4A,-1.0601649665737438,0.3402211564565687,-0.8540403709994977,6,6
TUBB4B,-0.6535607277031075,0.30538074987884406,-0.1100534518621128,6,6
TUBB6,1.8009546862353156,0.44619555773270053,0.43117144484102177,6,6
TUBB8,-0.4105028075842563,0.2924492963907811,-0.27915392089790314,6,6
TUBD1,-1.2871700708998364,0.36686400821006776,-0.5051278994991328,6,6
TUBE1,-1.2236684387647592,0.35889189104050245,-0.34258355200450374,6,6
TUBG1,-1.2468532432668005,0.3617558191513003,-0.6973186851751327,6,6
TUBG2,-1.5263842893363144,0.4005161185756896,-0.33246576058270705,6,6
TUBGCP2,0.05837715709308903,0.28419406326256685,0.008129523969167884,6,6
TUBGCP3,-0.6675953360458847,0.30630784527456417,-0.18848084709100554,6,6
TUBGCP4,-1.3074699975024529,0.3694975583575065,-0.36625211590024875,6,6
TUBGCP5,-2.0688743865030603,0.49803572999547396,-0.49617184642244627,6,6
TUBGCP6,1.1876668892463524,0.35455130062965867,0.32706138122987394,6,6
TUFM,0.060659430986093624,0.2842076469674311,0.012164943277214846,6,6
TUFT1,-0.9494137685690542,0.32909299383647794,-0.30823912640159357,6,6
TULP3,-0.8126777775955975,0.31704592714893925,-0.18153596483528922,6,6
TULP4,1.1695507012842212,0.35241611078277396,0.18108597459831266,6,6
TUSC1,0.3274664884985078,0.28938538369353045,0.10619384499797713,6,6
TUSC2,-0.7956985964164843,0.31568048145601146,-0.15320452684384556,6,6
TUSC3,-0.1719342183840248,0.28550173741161955,-0.06825521696454917,6,6
TUT1,-0.14247566629941583,0.2850386344134264,-0.05588677269901687,6,6
TUT4,-2.016075474525932,0.4872516845883014,-0.27060110888667044,6,6
TUT7,-0.9008217352614584,0.32459765857502654,-0.22983431653641873,6,6
TVP23A,0.09751203808162386,0.2844990985175949,0.08466726797286728,6,6
TVP23B,-0.30225940232148,0.2885917059536402,-0.18824963907773906,6,6
TVP23C,1.4460896603106728,0.38858243392192515,0.6573291957033676,6,6
TWF1,-0.6863338609323729,0.30757637707217017,-0.467246261462515,6,6
TWF2,-0.07908825708822732,0.28433641625951595,-0.09447112007595937,6,6
TWIST1,-0.7286550819937552,0.31057058006481963,-0.5909662397868457,6,6
TWNK,-0.9665289966191003,0.3307325837043295,-0.6350688171551688,6,6
TWSG1,-0.44278575225944466,0.2938266297592514,-0.20269694913732916,6,6
TXK,-1.7218262700122948,0.43225795384427596,-1.0775617166315472,6,6
TXLNA,2.5854506971486386,0.6182514340083725,0.31888574148909044,6,6
TXLNB,0.025156395270992758,0.2840553108502048,0.039336020764937585,6,6
TXLNG,-1.5430864678209963,0.4030794609976672,-0.4877361129258908,6,6
TXN,-1.3960600896925863,0.38147285734067693,-0.4005709875231176,6,6
TXN2,-0.9110763222139889,0.3255266718840017,-0.36371318697381927,6,6
TXNDC11,-0.9319749923239433,0.327452537954914,-0.21619963371681816,6,6
TXNDC12,-0.12780495696934593,0.2848403739903501,-0.060889894095510044,6,6
TXNDC15,0.3517488648798944,0.29021003183626803,0.047851137714722825,6,6
TXNDC16,-1.323623032868953,0.37162256529611354,-1.0514740248720313,6,6
TXNDC17,-1.3279451741854589,0.3721955879211757,-0.5272165662696571,6,6
TXNDC5,0.9221223428312961,0.3265391493964872,0.7366007229041984,6,6
TXNDC9,-1.0535124770569648,0.33951809560478835,-0.5310248829751911,6,6
TXNIP,1.2825793896168658,0.36627416317255185,0.694095782030737,6,6
TXNL1,-1.2310734330938766,0.35980075852253046,-0.8510279805698469,6,6
TXNL4A,-1.2233266820751185,0.3588500771928992,-0.21765778197827945,6,6
TXNL4B,-1.2157651013629547,0.35792790772365707,-0.5655898410105276,6,6
TXNRD1,-0.6110668965752288,0.30269380624355735,-0.12047131256199961,6,6
TXNRD2,0.10611127473273521,0.2845866487703236,0.018766401612217543,6,6
TXNRD3,-1.561551731704409,0.40594585917850523,-0.61958788303739,6,6
TYK2,1.9622985702371996,0.4765544525768011,0.4685061702432929,6,6
TYMP,3.3241298541378077,0.8365156329975656,1.5046089872756347,6,6
TYMS,0.327403034983726,0.28938330600488105,0.20215393405035353,6,6
TYRO3,-1.3974967286562647,0.3816735239693014,-0.997216928462116,6,6
TYROBP,3.07294290245451,0.7561725727263308,0.9101697433331566,6,6
TYRP1,-1.7940304047673763,0.44495092330054314,-1.875293118882472,6,6
TYSND1,0.6449565796159736,0.30482211811855003,0.23628409905680403,6,6
TYW1,-1.2627004664973973,0.3637442920436905,-0.21601122659260508,6,6
TYW1B,-1.3426160431125425,0.37415456060021235,-0.3212592938558769,6,6
TYW2,-0.9387928378031789,0.32809026825458054,-0.2779811830847523,6,6
