gene,k,pooled_g,se,z,P.Value,tau2,Q,I2,mean_logFC,n_up,n_down,dir_consistent,studies,adj.P.Val,g_GSE142025,g_GSE162830,g_GSE166239,stouffer_z,stouffer_p,is_IEG
XYLB,3,-1.0562800434351027,0.2608339874432621,-4.049625793743118,5.1299596847617923e-05,0.0,0.5074433637825214,0.0,-1.5004575217575091,0,3,True,"GSE142025,GSE162830,GSE166239",0.002532136474427464,-1.0136716710885842,-0.9272383161697688,-1.450942684197985,-4.184893970976331,2.852992372559178e-05,False
ARID4B,3,-1.0516514066774325,0.2597514121822334,-4.048684077758264,5.1506415094918525e-05,0.0,0.18286640163122464,0.0,-0.4596410061633061,0,3,True,"GSE142025,GSE162830,GSE166239",0.002535163210773617,-1.0883953384119145,-0.9269240585338951,-1.2263074407898265,-3.7557022617951095,0.00017285609472711346,False
MAST4,3,-1.1140373865372812,0.2752224398494893,-4.047770912671634,5.1707717487154824e-05,0.015033005099691726,2.132414585692437,6.209607952453552,-0.896220891610947,0,3,True,"GSE142025,GSE162830,GSE166239",0.0025379021675948892,-1.1783051015432662,-0.7491492495814528,-1.8946751952082983,-4.14290321001702,3.4293670407275685e-05,False
NEMF,3,-1.3145598227231454,0.3248851913510353,-4.046228814728512,5.2049358518799e-05,0.09172205397741559,2.800017241532216,28.57186840372573,-1.0678419987006036,0,3,True,"GSE142025,GSE162830,GSE166239",0.0025401805664371966,-1.7885439006776918,-0.7995619247892117,-1.4497126337250137,-4.959129058928688,7.080991576072848e-07,False
RTKN,3,-1.052392089611434,0.26011233002168377,-4.045913892369898,5.2119389898196134e-05,0.0,1.1140249510688864,0.0,-0.9556094774300878,0,3,True,"GSE142025,GSE162830,GSE166239",0.0025401805664371966,-1.311962006754184,-0.7230112834222145,-1.2003403017014251,-4.0681701911468435,4.738376842930212e-05,False
COG7,3,-1.0523179986773392,0.2601617563044971,-4.044860449995159,5.235430037394489e-05,0.0,1.4255412530400422,0.0,-1.3392261089181634,0,3,True,"GSE142025,GSE162830,GSE166239",0.0025401805664371966,-0.9690072446697864,-1.441452732237946,-0.6197178885863881,-4.026926931859346,5.651058404978643e-05,False
LMAN1,3,-1.0488645947485167,0.2593254860931445,-4.044587404617014,5.241535116461587e-05,0.0,0.8880369820115903,0.0,-0.9965247995962049,0,3,True,"GSE142025,GSE162830,GSE166239",0.0025401805664371966,-1.3335853497167645,-0.7901781212783844,-0.992848805007818,-4.154498327784616,3.260020014409404e-05,False
DIP2C,3,-1.531954447731007,0.3787948893188279,-4.0442848911870515,5.248306955448753e-05,0.17325093638902808,3.3444855668476503,40.20007083226545,-0.8942998286707086,0,3,True,"GSE142025,GSE162830,GSE166239",0.0025401805664371966,-1.6235335501206625,-0.9884044623242064,-2.544214170105396,-5.20103673202093,1.9817992605668833e-07,False
DZIP3,3,-1.2521719369127495,0.30995271062729446,-4.039880581713755,5.3478423766441004e-05,0.06965430341254018,2.62404032833661,23.781659206899143,-0.9677355563526238,0,3,True,"GSE142025,GSE162830,GSE166239",0.002576191205842434,-1.7602364652426383,-0.7932880510907405,-1.2274331857991498,-4.85813276944041,1.1849794248834287e-06,False
CMTM8,3,-1.0460510566737204,0.258944224963335,-4.039677103522332,5.352483846720279e-05,0.0,0.2597959176465506,0.0,-1.0629244742898367,0,3,True,"GSE142025,GSE162830,GSE166239",0.002576191205842434,-1.1998397793804745,-0.9108066692110526,-0.9913319699638846,-4.116083704690007,3.853644012963699e-05,False
MRPL39,3,-1.049138441625824,0.25978461031935723,-4.038493428598799,5.37956001804108e-05,0.0,0.8387557575322525,0.0,-0.9175713524673115,0,3,True,"GSE142025,GSE162830,GSE166239",0.002576191205842434,-1.27313590210229,-0.761609874030224,-1.1742849533408708,-4.128291698071093,3.6546830520865295e-05,False
ZNF790,3,-1.055746171727377,0.2614272618572757,-4.038393563957205,5.3818503152355716e-05,0.0,0.9469424046750261,0.0,-1.082042651232442,0,3,True,"GSE142025,GSE162830,GSE166239",0.002576191205842434,-1.0544045321899869,-0.8384636582853249,-1.5792358700755893,-4.114847501937189,3.87435472272328e-05,False
LRRC73,3,-1.0475792439837641,0.259538174112327,-4.0363204664080605,5.429603936759776e-05,0.0,1.8644727277460285,0.0,-1.1057316346641457,0,3,True,"GSE142025,GSE162830,GSE166239",0.002591929287509653,-1.4925257119975663,-0.7382580877831348,-0.823148712753667,-4.253043834801422,2.108842759161778e-05,False
